gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
CTH	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
CTHRC1	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CTIF	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
CTLA4	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CTNNA1	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
CTNNA2	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
CTNNA3	4	7923	9	21188	7.5943e-01	1.1885e+00	2.6738e-01	4.2597e+00
CTNNAL1	5	7922	15	21182	1.0000e+00	8.9128e-01	2.5334e-01	2.5810e+00
CTNNB1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CTNNBIP1	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
CTNNBL1	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
CTNND1	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CTNND2	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CTNS	3	7924	8	21189	1.0000e+00	1.0028e+00	1.7129e-01	4.1793e+00
CTPS1	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
CTPS2	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
