gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
SULT1A1	23	7904	49	21148	3.5605e-01	1.2559e+00	7.2973e-01	2.1027e+00
SULT1A2	12	7915	38	21159	7.5058e-01	8.4420e-01	4.0141e-01	1.6512e+00
SULT1A3	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
SULT1B1	12	7915	25	21172	4.6353e-01	1.2840e+00	5.8742e-01	2.6536e+00
SULT1C2	6	7921	29	21168	2.5291e-01	5.5290e-01	1.8761e-01	1.3560e+00
SULT1C3	10	7917	35	21162	5.0696e-01	7.6373e-01	3.3716e-01	1.5768e+00
SULT1C4	5	7922	28	21169	1.6871e-01	4.7717e-01	1.4383e-01	1.2523e+00
SULT1E1	1	7926	10	21187	3.0851e-01	2.6731e-01	6.1625e-03	1.8796e+00
SULT2A1	4	7923	21	21176	2.6407e-01	5.0909e-01	1.2701e-01	1.5095e+00
SULT2B1	32	7895	45	21152	6.7220e-03	1.9052e+00	1.1709e+00	3.0673e+00
SULT4A1	6	7921	36	21161	8.0644e-02	4.4525e-01	1.5328e-01	1.0675e+00
SULT6B1	4	7923	19	21178	3.5553e-01	5.6272e-01	1.3921e-01	1.6941e+00
SUMF1	18	7909	40	21157	5.5465e-01	1.2037e+00	6.4916e-01	2.1502e+00
SUMF2	13	7914	25	21172	3.6181e-01	1.3911e+00	6.5319e-01	2.8256e+00
SUMO1	2	7925	9	21188	7.3798e-01	5.9411e-01	6.2454e-02	2.8714e+00
SUMO2	2	7925	1	21196	1.8191e-01	5.3488e+00	2.7841e-01	3.1496e+02
SUMO3	11	7916	30	21167	1.0000e+00	9.8044e-01	4.4309e-01	2.0138e+00
SUMO4	9	7918	12	21185	1.3802e-01	2.0067e+00	7.4641e-01	5.1907e+00
SUN1	53	7874	128	21069	5.5760e-01	1.1079e+00	7.8787e-01	1.5392e+00
SUN2	39	7888	89	21108	4.2597e-01	1.1726e+00	7.8264e-01	1.7285e+00
SUN3	15	7912	24	21173	1.4771e-01	1.6725e+00	8.1538e-01	3.3234e+00
SUN5	15	7912	27	21170	2.2575e-01	1.4865e+00	7.3461e-01	2.8974e+00
SUOX	11	7916	35	21162	7.4074e-01	8.4020e-01	3.8472e-01	1.6936e+00
SUPT16H	30	7897	77	21120	8.2836e-01	1.0420e+00	6.5900e-01	1.6094e+00
SUPT20H	24	7903	22	21175	3.6050e-04	2.9228e+00	1.5689e+00	5.4710e+00
SUPT3H	8	7919	24	21173	1.0000e+00	8.9124e-01	3.4597e-01	2.0516e+00
SUPT4H1	5	7922	6	21191	1.8366e-01	2.2291e+00	5.3798e-01	8.7686e+00
SUPT5H	47	7880	105	21092	3.1500e-01	1.1981e+00	8.2983e-01	1.7073e+00
SUPT6H	70	7857	134	21063	2.6796e-02	1.4004e+00	1.0323e+00	1.8858e+00
SUPT7L	7	7920	31	21166	2.7523e-01	6.0345e-01	2.2418e-01	1.3976e+00
SUPV3L1	17	7910	49	21148	8.9018e-01	9.2757e-01	5.0051e-01	1.6402e+00
SURF1	7	7920	28	21169	4.4738e-01	6.6825e-01	2.4629e-01	1.5664e+00
SURF2	5	7922	29	21168	1.2286e-01	4.6070e-01	1.3919e-01	1.2043e+00
SURF4	10	7917	27	21170	1.0000e+00	9.9037e-01	4.2753e-01	2.1124e+00
SURF6	14	7913	43	21154	7.6619e-01	8.7039e-01	4.3953e-01	1.6230e+00
SUSD1	17	7910	69	21128	1.4476e-01	6.5812e-01	3.6255e-01	1.1321e+00
SUSD2	41	7886	94	21103	4.3800e-01	1.1672e+00	7.8757e-01	1.7033e+00
SUSD3	17	7910	29	21168	1.3840e-01	1.5687e+00	8.0821e-01	2.9539e+00
SUSD4	22	7905	51	21146	5.9866e-01	1.1539e+00	6.6595e-01	1.9387e+00
SUSD5	21	7906	68	21129	4.7671e-01	8.2535e-01	4.8012e-01	1.3643e+00
SUSD6	7	7920	41	21156	5.1385e-02	4.5606e-01	1.7254e-01	1.0273e+00
SUV39H1	6	7921	22	21175	6.7108e-01	7.2910e-01	2.4177e-01	1.8550e+00
SUV39H2	9	7918	34	21163	3.9667e-01	7.0753e-01	2.9830e-01	1.5071e+00
SUZ12	15	7912	33	21164	5.1883e-01	1.2159e+00	6.1326e-01	2.3032e+00
SV2A	33	7894	72	21125	3.2458e-01	1.2266e+00	7.8601e-01	1.8782e+00
SV2B	22	7905	59	21138	1.0000e+00	9.9709e-01	5.8137e-01	1.6531e+00
SV2C	29	7898	75	21122	9.1214e-01	1.0341e+00	6.4878e-01	1.6084e+00
SVBP	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
SVEP1	106	7821	303	20894	5.7618e-01	9.3460e-01	7.4078e-01	1.1716e+00
SVIL	74	7853	186	21011	6.7455e-01	1.0645e+00	8.0078e-01	1.4027e+00
SVIP	4	7923	5	21192	2.6678e-01	2.1398e+00	4.2447e-01	9.9453e+00
SVOP	29	7898	64	21133	4.1397e-01	1.2125e+00	7.5305e-01	1.9097e+00
SVOPL	22	7905	51	21146	5.9866e-01	1.1539e+00	6.6595e-01	1.9387e+00
SWAP70	19	7908	44	21153	5.7369e-01	1.1550e+00	6.3645e-01	2.0214e+00
SWI5	9	7918	21	21176	6.8630e-01	1.1462e+00	4.6195e-01	2.6119e+00
SWSAP1	10	7917	14	21183	1.1378e-01	1.9112e+00	7.5916e-01	4.6285e+00
SWT1	18	7909	40	21157	5.5465e-01	1.2037e+00	6.4916e-01	2.1502e+00
SYAP1	11	7916	20	21177	3.1436e-01	1.4713e+00	6.3648e-01	3.2232e+00
SYBU	29	7898	63	21134	3.4945e-01	1.2318e+00	7.6421e-01	1.9427e+00
SYCE1	10	7917	18	21179	2.9605e-01	1.4862e+00	6.1262e-01	3.3974e+00
