gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
MS4A12	2	7925	1	21196	1.8191e-01	5.3488e+00	2.7841e-01	3.1496e+02
MS4A13	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MS4A14	1	7926	16	21181	5.4877e-02	1.6702e-01	3.9862e-03	1.0755e+00
MS4A15	3	7924	7	21190	7.3748e-01	1.1460e+00	1.9119e-01	5.0216e+00
MS4A18	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
MS4A2	2	7925	9	21188	7.3798e-01	5.9411e-01	6.2454e-02	2.8714e+00
MS4A3	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MS4A4A	3	7924	7	21190	7.3748e-01	1.1460e+00	1.9119e-01	5.0216e+00
MS4A4E	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MS4A5	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MS4A6A	5	7922	3	21194	3.8935e-02	4.4585e+00	8.6721e-01	2.8735e+01
MS4A6E	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MS4A7	3	7924	7	21190	7.3748e-01	1.1460e+00	1.9119e-01	5.0216e+00
MS4A8	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MSANTD1	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
MSANTD2	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MSANTD3	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MSANTD4	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MSC	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MSGN1	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MSH2	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MSH3	15	7912	16	21181	1.3646e-02	2.5097e+00	1.1551e+00	5.4228e+00
MSH4	6	7921	12	21185	5.9753e-01	1.3373e+00	4.1164e-01	3.8515e+00
MSH5	0	7927	8	21189	1.1765e-01	0.0000e+00	0.0000e+00	1.5664e+00
MSH5-SAPCD1	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MSH6	9	7918	16	21181	3.6792e-01	1.5047e+00	5.8581e-01	3.6178e+00
MSL1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MSLN	4	7923	11	21186	1.0000e+00	9.7234e-01	2.2575e-01	3.2824e+00
MSLNL	11	7916	17	21180	1.9988e-01	1.7312e+00	7.3263e-01	3.9204e+00
MSMB	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MSMO1	4	7923	4	21193	2.2544e-01	2.6748e+00	4.9807e-01	1.4363e+01
MSMP	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MSN	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MSR1	4	7923	6	21191	4.7567e-01	1.7830e+00	3.6998e-01	7.5212e+00
MSRA	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MSRB1	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MSRB2	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MSRB3	2	7925	0	21197	7.4076e-02	Infinity	5.0223e-01	Infinity
MSS51	3	7924	11	21186	7.7080e-01	7.2920e-01	1.3060e-01	2.7613e+00
MST1	7	7920	15	21182	6.3430e-01	1.2481e+00	4.3033e-01	3.2534e+00
MST1R	9	7918	25	21172	1.0000e+00	9.6258e-01	3.9518e-01	2.1331e+00
MSTN	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MSTO1	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MSX1	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MT1A	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MT1B	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MT1G	3	7924	1	21196	6.4178e-02	8.0236e+00	6.4417e-01	4.2027e+02
