gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
PRMT8	[4,1,0,2]	[4552,203,801,2054]	[7,0,0,7]	[7070,2075,3439,7252]	3.1644e-03	9.5514e-01	1.1438e+00
PRMT9	[6,1,0,1]	[4550,203,801,2055]	[5,5,1,13]	[7072,2070,3438,7246]	2.4938e-02	8.7452e-01	9.7725e-01
PRND	[3,0,0,0]	[4553,204,801,2056]	[3,0,1,4]	[7074,2075,3438,7255]	2.7037e-03	9.5853e-01	8.1226e-01
PRNP	[2,0,0,3]	[4554,204,801,2053]	[2,2,1,3]	[7075,2073,3438,7256]	6.6966e-01	4.1317e-01	1.9609e+00
PROB1	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,0]	[7076,2074,3439,7259]	2.4908e-01	6.1772e-01	1.2644e+00
PROC	[1,0,0,1]	[4555,204,801,2055]	[0,1,1,2]	[7077,2074,3438,7257]	2.8463e-02	8.6602e-01	1.9279e+00
PROCA1	[1,0,0,0]	[4555,204,801,2056]	[4,2,1,11]	[7073,2073,3438,7248]	3.1171e+00	7.7473e-02	1.3939e-01
PRODH2	[3,0,0,3]	[4553,204,801,2053]	[7,2,0,13]	[7070,2073,3439,7246]	2.4003e-01	6.2418e-01	7.1871e-01
PROK1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
PROK2	[1,0,0,1]	[4555,204,801,2055]	[1,1,0,2]	[7076,2074,3439,7257]	1.1381e-03	9.7309e-01	1.5042e+00
PROKR1	[2,0,0,1]	[4554,204,801,2055]	[11,2,2,4]	[7066,2073,3437,7255]	2.3907e+00	1.2206e-01	3.4700e-01
PROKR2	[4,0,0,5]	[4552,204,801,2051]	[10,1,0,7]	[7067,2074,3439,7252]	1.4201e-02	9.0514e-01	1.1405e+00
PROM1	[9,0,0,3]	[4547,204,801,2053]	[8,4,1,10]	[7069,2071,3438,7249]	3.0084e-01	5.8336e-01	1.3276e+00
PROM2	[11,1,0,6]	[4545,203,801,2050]	[13,6,0,17]	[7064,2069,3439,7242]	5.6224e-01	4.5336e-01	1.3097e+00
PROP1	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,3]	[7076,2074,3439,7256]	1.1381e-03	9.7309e-01	5.3206e-01
PROS1	[5,0,1,2]	[4551,204,800,2054]	[9,1,0,3]	[7068,2074,3439,7256]	9.1085e-02	7.6280e-01	1.2657e+00
PROSER1	[14,0,0,3]	[4542,204,801,2053]	[9,1,3,13]	[7068,2074,3436,7246]	1.2467e+00	2.6418e-01	1.5408e+00
PROSER2	[5,0,0,3]	[4551,204,801,2053]	[12,3,2,6]	[7065,2072,3437,7253]	1.0181e-01	7.4966e-01	8.0628e-01
PROSER3	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
PROX1	[6,0,0,4]	[4550,204,801,2052]	[8,2,1,13]	[7069,2073,3438,7246]	1.6215e-03	9.6788e-01	1.0624e+00
PROX2	[6,0,0,5]	[4550,204,801,2051]	[10,0,2,7]	[7067,2075,3437,7252]	2.3601e-01	6.2710e-01	1.2928e+00
PROZ	[1,0,0,1]	[4555,204,801,2055]	[4,3,0,4]	[7073,2072,3439,7255]	3.0046e-01	5.8360e-01	5.1040e-01
PRPF18	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,1]	[7076,2074,3439,7258]	8.2874e-02	7.7344e-01	0.0000e+00
PRPF19	[2,1,0,0]	[4554,203,801,2056]	[6,1,0,3]	[7071,2074,3439,7256]	8.7082e-02	7.6792e-01	6.8570e-01
PRPF3	[6,0,0,1]	[4550,204,801,2055]	[7,1,1,6]	[7070,2074,3438,7253]	3.7972e-02	8.4550e-01	1.0196e+00
PRPF31	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
PRPF38A	[1,0,0,1]	[4555,204,801,2055]	[2,1,0,1]	[7075,2074,3439,7258]	3.7179e-02	8.4710e-01	1.2690e+00
PRPF38B	[5,0,0,2]	[4551,204,801,2054]	[6,3,0,6]	[7071,2072,3439,7253]	5.8622e-03	9.3897e-01	1.1670e+00
PRPF39	[4,0,0,6]	[4552,204,801,2050]	[8,1,1,4]	[7069,2074,3438,7255]	1.1140e+00	2.9122e-01	1.6562e+00
PRPF4	[2,0,0,1]	[4554,204,801,2055]	[5,0,0,3]	[7072,2075,3439,7256]	6.5708e-03	9.3539e-01	7.6161e-01
PRPF40A	[6,0,0,2]	[4550,204,801,2054]	[8,2,0,12]	[7069,2073,3439,7247]	1.0774e-02	9.1733e-01	8.7368e-01
PRPF40B	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
PRPF4B	[6,1,0,2]	[4550,203,801,2054]	[9,1,0,10]	[7068,2074,3439,7249]	7.0649e-03	9.3301e-01	1.0512e+00
PRPF6	[10,0,0,3]	[4546,204,801,2053]	[9,7,2,21]	[7068,2068,3437,7238]	6.2034e-03	9.3722e-01	9.1880e-01
PRPF8	[15,2,0,7]	[4541,202,801,2049]	[32,10,1,45]	[7045,2065,3438,7214]	2.0870e+00	1.4856e-01	6.9539e-01
PRPH2	[2,1,0,0]	[4554,203,801,2056]	[6,2,0,5]	[7071,2073,3439,7254]	3.3588e-01	5.6222e-01	5.8539e-01
PRPS1	[3,0,0,1]	[4553,204,801,2055]	[4,0,0,3]	[7073,2075,3439,7256]	6.5708e-03	9.3539e-01	1.1686e+00
PRPS1L1	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,6]	[7076,2074,3439,7253]	3.0575e-01	5.8030e-01	3.3692e-01
PRPS2	[4,0,0,0]	[4552,204,801,2056]	[3,1,0,7]	[7074,2074,3439,7252]	5.2043e-03	9.4249e-01	8.6610e-01
PRPSAP1	[6,0,0,0]	[4550,204,801,2056]	[4,4,2,4]	[7073,2071,3437,7255]	3.3490e-04	9.8540e-01	1.1460e+00
PRPSAP2	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,2]	[7076,2075,3439,7257]	2.6399e-01	6.0739e-01	9.3540e-01
PRR11	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.7936e-01	5.3795e-01	9.9345e-01
PRR12	[30,1,0,16]	[4526,203,801,2040]	[29,10,7,60]	[7048,2065,3432,7199]	6.4275e-01	4.2272e-01	1.1806e+00
PRR14	[3,0,0,2]	[4553,204,801,2054]	[6,1,0,3]	[7071,2074,3439,7256]	1.5397e-02	9.0125e-01	1.0910e+00
PRR14L	[13,0,0,12]	[4543,204,801,2044]	[23,7,3,24]	[7054,2068,3436,7235]	1.0106e-01	7.5056e-01	1.1141e+00
PRR16	[3,0,0,0]	[4553,204,801,2056]	[2,0,1,5]	[7075,2075,3438,7254]	2.8194e-02	8.6665e-01	8.7918e-01
PRR18	[5,1,0,3]	[4551,203,801,2053]	[13,4,1,7]	[7064,2071,3438,7252]	2.3574e-02	8.7797e-01	8.7548e-01
PRR19	[6,0,0,2]	[4550,204,801,2054]	[7,2,0,2]	[7070,2073,3439,7257]	4.5975e-01	4.9774e-01	1.5500e+00
PRR20G	[1,0,0,1]	[4555,204,801,2055]	[1,1,1,5]	[7076,2074,3438,7254]	7.4533e-03	9.3120e-01	7.8228e-01
PRR27	[2,0,0,0]	[4554,204,801,2056]	[4,0,1,3]	[7073,2075,3438,7256]	2.3418e-01	6.2844e-01	5.0312e-01
PRR3	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,0]	[7076,2074,3439,7259]	1.1103e-03	9.7342e-01	0.0000e+00
PRR32	[1,1,0,0]	[4555,203,801,2056]	[5,2,1,6]	[7072,2073,3438,7253]	9.3153e-01	3.3447e-01	4.1586e-01
PRR5	[1,1,0,3]	[4555,203,801,2053]	[6,2,1,13]	[7071,2073,3438,7246]	3.1464e-01	5.7485e-01	6.8997e-01
PRR5L	[3,0,1,1]	[4553,204,800,2055]	[5,0,0,8]	[7072,2075,3439,7251]	1.0168e-02	9.1968e-01	9.1710e-01
PRR9	[0,0,0,0]	[4556,204,801,2056]	[1,0,1,2]	[7076,2075,3438,7257]	3.7050e-01	5.4273e-01	0.0000e+00
PRRC1	[4,1,1,1]	[4552,203,800,2055]	[6,1,2,5]	[7071,2074,3437,7254]	6.5347e-02	7.9824e-01	1.2587e+00
PRRC2A	[5,0,0,3]	[4551,204,801,2053]	[4,2,0,7]	[7073,2073,3439,7252]	6.2743e-01	4.2830e-01	1.6356e+00
