gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
SRRM2	[0,1,0,2]	[4556,203,801,2054]	[2,0,0,0]	[7075,2075,3439,7259]	1.5589e+00	2.1183e-01	3.1522e+00
SRRM3	[2,0,0,0]	[4554,204,801,2056]	[3,4,0,0]	[7074,2071,3439,7259]	2.2259e-02	8.8140e-01	7.9362e-01
SRRM4	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
SRRM5	[13,0,0,2]	[4543,204,801,2054]	[10,6,0,3]	[7067,2069,3439,7256]	2.1760e+00	1.4018e-01	1.8526e+00
SRRT	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	3.0775e-02	8.6074e-01	2.7562e+00
SRSF10	[2,0,0,0]	[4554,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	7.0501e-01	4.0111e-01	1.3593e+01
SRSF11	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SRSF12	[1,0,0,0]	[4555,204,801,2056]	[2,1,0,0]	[7075,2074,3439,7259]	6.9692e-02	7.9179e-01	6.9695e-01
SRSF4	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SRSF6	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	5.0970e-02	8.2138e-01	1.7657e+00
SRSF7	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	2.0675e+00	1.5047e-01	0.0000e+00
SRSF8	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,1]	[7077,2075,3439,7258]	9.9703e-03	9.2046e-01	3.5319e+00
SS18	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
SS18L2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SSBP1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
SSBP2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SSBP3	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,0]	[7077,2075,3438,7259]	6.3157e-01	4.2678e-01	0.0000e+00
SSC4D	[0,0,0,2]	[4556,204,801,2054]	[0,1,0,8]	[7077,2074,3439,7251]	2.2962e-02	8.7956e-01	8.3993e-01
SSC5D	[15,0,0,5]	[4541,204,801,2051]	[15,2,0,10]	[7062,2073,3439,7249]	1.8396e+00	1.7500e-01	1.5780e+00
SSH1	[6,0,0,2]	[4550,204,801,2054]	[0,2,0,2]	[7077,2073,3439,7257]	7.3316e+00	6.7751e-03	8.4000e+00
SSH3	[3,0,0,0]	[4553,204,801,2056]	[2,0,2,4]	[7075,2075,3437,7255]	3.6155e-02	8.4920e-01	8.9286e-01
SSMEM1	[2,0,0,2]	[4554,204,801,2054]	[3,0,0,5]	[7074,2075,3439,7254]	4.4314e-06	9.9832e-01	1.2182e+00
SSPN	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,3]	[7077,2075,3439,7256]	2.6399e-01	6.0739e-01	9.1875e-01
SSR3	[1,0,0,0]	[4555,204,801,2056]	[0,1,0,2]	[7077,2074,3439,7257]	2.6907e-01	6.0396e-01	1.1458e+00
SSTR1	[1,0,0,0]	[4555,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	1.1103e-03	9.7342e-01	6.7963e+00
SSTR3	[1,0,0,1]	[4555,204,801,2055]	[2,1,0,4]	[7075,2074,3439,7255]	1.0516e-02	9.1832e-01	7.9030e-01
SSTR5	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,4]	[7075,2075,3439,7255]	6.1931e-02	8.0347e-01	1.0954e+00
SSU72	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
SSU72P2	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
SSU72P3	[3,0,0,1]	[4553,204,801,2055]	[4,2,0,2]	[7073,2073,3439,7257]	2.9152e-03	9.5694e-01	1.1909e+00
SSU72P4	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	5.0970e-02	8.2138e-01	1.7657e+00
